Symbol,Date,Type,BluePrice,GreenPrice,OpenBarTime,OpenPrice,ClosePrice,CloseBarTime,Result(%)
AAPL,20220524,No Range,140.69,140.83,,,,,,
AAPL,20220525,Short,141.19,138.44,5/25/2022 10:34:00 AM,141.19,139.7781,5/25/2022 11:04:00 AM,1,
AAPL,20220526,Short,140.53,137.39,5/26/2022 9:53:00 AM,140.53,141.9353,5/26/2022 10:50:00 AM,-1,
AAPL,20220527,No Range,143.99,145.39,,,,,,
AAPL,20220531,No Range,150,149.03,,,,,,
AAPL,20220601,No Range,148.95,149.91,,,,,,
AAPL,20220602,No Range,148.57,147.81,,,,,,
AAPL,20220603,No Triggered,150.7,146.89,,,,,,
AAPL,20220606,No Range,146.19,146.95,,,,,,
AAPL,20220607,Short,145.88,144.38,6/7/2022 9:37:00 AM,145.88,147.3388,6/7/2022 10:32:00 AM,-1,
AAPL,20220608,No Range,147.85,148.51,,,,,,
AAPL,20220609,No Range,147.8,147.09,,,,,,
AAPL,20220610,No Triggered,143.03,140.28,,,,,,
AAPL,20220613,Short,134.98,132.86,6/13/2022 10:00:00 AM,134.98,133.6302,6/13/2022 10:11:00 AM,1,
AAPL,20220614,No Range,133.01,133.1,,,,,,
AAPL,20220615,No Range,133.46,134.21,,,,,,
AAPL,20220616,No Range,133,132.08,,,,,,
AAPL,20220617,No Range,131.01,130.07,,,,,,
AAPL,20220621,No Range,132.51,133.42,,,,,,
AAPL,20220622,No Range,134.98,134.84,,,,,,
