Symbol,Date,Type,BluePrice,GreenPrice,OpenBarTime,OpenPrice,ClosePrice,CloseBarTime,Result(%)
AMD,20220524,No Range,93.2,92.56,,,,,,
AMD,20220525,Short,91.7,90.49,5/25/2022 9:31:00 AM,91.7,92.617,5/25/2022 9:36:00 AM,-1,
AMD,20220526,No Range,91.4,91.36,,,,,,
AMD,20220527,No Triggered,98.96,100.14,,,,,,
AMD,20220531,No Range,102.24,102.43,,,,,,
AMD,20220601,No Range,101.88,102.15,,,,,,
AMD,20220602,Short,101.99,100.71,6/2/2022 9:33:00 AM,101.99,103.0099,6/2/2022 9:49:00 AM,-1,
AMD,20220603,Short,107.76,105.76,6/3/2022 9:56:00 AM,107.76,108.8376,6/3/2022 10:00:00 AM,-1,
AMD,20220606,No Range,107.55,108.27,,,,,,
AMD,20220607,No Range,104.98,104.25,,,,,,
AMD,20220608,No Range,104.8,104.57,,,,,,
AMD,20220609,No Range,101.9,101.6,,,,,,
AMD,20220610,No Triggered,100.32,98.81,,,,,,
AMD,20220613,No Range,91.88,91.26,,,,,,
AMD,20220614,No Range,88.02,87.41,,,,,,
AMD,20220615,No Range,87.49,87.92,,,,,,
AMD,20220616,No Range,86.47,86.67,,,,,,
AMD,20220617,No Range,82.52,82.19,,,,,,
AMD,20220621,No Range,84.03,84.17,,,,,,
AMD,20220622,No Triggered,82.97,84.4,,,,,,
