Symbol,Date,Type,BluePrice,GreenPrice,OpenBarTime,OpenPrice,ClosePrice,CloseBarTime,Result(%)
GOOGL,20220524,No Triggered,2150,2115.44,,,,,,
GOOGL,20220525,No Range,2115.8,2099.71,,,,,,
GOOGL,20220526,No Range,2133.46,2113.54,,,,,,
GOOGL,20220527,No Triggered,2155.8,2189.66,,,,,,
GOOGL,20220531,No Range,2259.53,2252.71,,,,,,
GOOGL,20220601,No Range,2283.16,2297.1,,,,,,
GOOGL,20220602,No Range,2297,2276.58,,,,,,
GOOGL,20220603,No Range,2337.89,2321.25,,,,,,
GOOGL,20220606,No Range,2318,2330.82,,,,,,
GOOGL,20220607,No Range,2323.89,2307.44,,,,,,
GOOGL,20220608,No Range,2340,2335.23,,,,,,
GOOGL,20220609,No Range,2345.9,2329.45,,,,,,
GOOGL,20220610,No Triggered,2296.71,2252.28,,,,,,
GOOGL,20220613,Short,2160.95,2138.79,6/13/2022 9:33:00 AM,2160.95,2139.3405,6/13/2022 10:24:00 AM,1,
GOOGL,20220614,No Triggered,2160,2130.7,,,,,,
GOOGL,20220615,No Triggered,2145.2,2170.9,,,,,,
GOOGL,20220616,No Range,2150.25,2144.42,,,,,,
GOOGL,20220617,No Range,2140.04,2122.49,,,,,,
GOOGL,20220621,No Range,2200,2178.59,,,,,,
GOOGL,20220622,No Range,2190.43,2211.13,,,,,,
