Symbol,Date,Type,BluePrice,GreenPrice,OpenBarTime,OpenPrice,ClosePrice,CloseBarTime,Result(%)
TSLA,20220524,No Range,653.66,653.44,,,,,,
TSLA,20220525,Short,636.77,623.85,5/25/2022 9:36:00 AM,636.77,630.4023,5/25/2022 9:48:00 AM,1,
TSLA,20220526,No Range,665.28,661.01,,,,,,
TSLA,20220527,No Triggered,710.79,723.22,,,,,,
TSLA,20220531,Long,761.72,773.67,5/31/2022 9:37:00 AM,761.72,754.1028,5/31/2022 9:38:00 AM,-1,
TSLA,20220601,No Range,759.76,755.05,,,,,,
TSLA,20220602,Short,745.45,732.47,6/2/2022 9:42:00 AM,745.45,752.9045,6/2/2022 9:51:00 AM,-1,
TSLA,20220603,No Triggered,754,729.68,,,,,,
TSLA,20220606,Long,725,733.32,6/6/2022 9:34:00 AM,725,717.75,6/6/2022 9:38:00 AM,-1,
TSLA,20220607,Short,710.3,701.93,6/7/2022 9:51:00 AM,710.3,703.197,6/7/2022 9:54:00 AM,1,
TSLA,20220608,No Triggered,712.8,720.31,,,,,,
TSLA,20220609,No Range,744.47,748.22,,,,,,
TSLA,20220610,No Triggered,724,705.47,,,,,,
TSLA,20220613,No Triggered,688.89,669.69,,,,,,
TSLA,20220614,Short,663,654.86,6/14/2022 11:47:00 AM,663,669.63,6/14/2022 1:07:00 PM,-1,
TSLA,20220615,No Range,668,662.75,,,,,,
TSLA,20220616,No Triggered,682.92,667.91,,,,,,
TSLA,20220617,No Range,646,640,,,,,,
TSLA,20220621,No Triggered,667,674.05,,,,,,
TSLA,20220622,No Triggered,689.59,703.51,,,,,,
